,Product_Name,Publisher,Writer,Previous_Price,Discount,Current_Price,Gain,Kind,Page,ISBN,Cover
877,Esneyen Adam,İthaki Yayınları,Feryal Tilmaç,"18,00",%36 indirim,"11,52","6,48",Öykü Kitapları,152,9786053758365,Ciltsiz
878,Nantucketlı Arthur Gordon Pym'in Öyküsü,İthaki Yayınları,Edgar Allan Poe,"24,00",%36 indirim,"15,36","8,64",Korku - Gerilim Edebiyatı,192,9786053758389,Ciltsiz
879,Seyahatname - Dünyanın Tasviri,Alfa Yayınları,Marco Polo,"45,00",%35 indirim,"29,25","15,75",Seyahatname Kitapları,372,9786051717746,Ciltli
880,Bazen Unutmak İstersin,Everest Yayınları,Kürşat Başar,"21,00",%35 indirim,"13,65","7,35",Denemeler,224,9786051418407,Ciltsiz
881,Frankenstein,Alfa Yayınları,Mary Shelley,"21,00",%35 indirim,"13,65","7,35",Roman,305,9786051717616,Ciltsiz
882,Keşkül Dergisi Sayı: 46,Sufi Kitap - Dergiler,Kolektif,"40,00",%35 indirim,"26,00","14,00",Diğer,128,1520401904602,Ciltsiz
883,Faith in the Laboratory,Timaş Publishing,Nevzat Tarhan,"27,78",%35 indirim,"18,06","9,72",Yabancı Dilde Kitaplar,256,9786050828771,Ciltsiz
884,Engin Ar ile Süper Matematik Oyunları,Carpe Diem Kitapları,Kayahan Demir,"20,00",%35 indirim,"13,00","7,00",Zeka Gelişimi Kitapları,153,9786051441832,Ciltsiz
885,Her Şey Anını Bekler,Carpe Diem Kitapları,Ömer Sevinçgül,"20,00",%35 indirim,"13,00","7,00",Roman,159,9786051441825,Ciltsiz
886,Sonsuz Hayat Seni Bekliyor,Carpe Diem Kitapları,Ömer Sevinçgül,"20,00",%35 indirim,"13,00","7,00",Roman,159,9786051441627,Ciltsiz
887,Klasik Şerh Geleneğinde Üslup,İz Yayıncılık,Kenan Mermer,"55,00",%35 indirim,"35,75","19,25",Araştıma-İnceleme Kitapları,552,9786053263142,Ciltsiz
888,Ölmek İçin İyi Bir Gün Değil,İz Yayıncılık,Selma Aksoy Türköz,"14,00",%35 indirim,"9,10","4,90",Öykü Kitapları,128,9786053262947,Ciltsiz
889,Efsunlu Eşya Masalları - İtalyan Masalları,Yapı Kredi Yayınları,Italo Calvino,"14,81",%36 indirim,"9,48","5,33",Roman-Öykü Kitapları,100,9789750842986,Ciltsiz
890,Sihirbaz Tavşan,Yapı Kredi Yayınları,Michael Escoffier,"26,00",%36 indirim,"16,64","9,36",Roman-Öykü Kitapları,36,9789750843020,Ciltli
891,Pupa’nın Paltosu,Yapı Kredi Yayınları,Elena Ferrandiz,"26,00",%36 indirim,"16,64","9,36",Roman-Öykü Kitapları,48,9789750843037,Ciltli
892,Mahcubiyet ve Haysiyet,Yapı Kredi Yayınları,Dag Solstad,"10,00",%36 indirim,"6,40","3,60",Roman,108,9789750842870,Ciltsiz
893,Çağrılmayan Yakup,Yapı Kredi Yayınları,Edip Cansever,"8,00",%36 indirim,"5,12","2,88",Şiir Kitapları,68,9789750843136,Ciltsiz
894,Karşıdüşünce,Yapı Kredi Yayınları,Fazıl Hüsnü Dağlarca,"14,81",%36 indirim,"9,48","5,33",Araştıma-İnceleme Kitapları,136,9789750843082,Ciltsiz
895,Elele Okuyalım,Yapı Kredi Yayınları,Turgut Uyar,"23,15",%36 indirim,"14,82","8,33",Söyleşi Kitapları,276,9789750843013,Ciltsiz
896,Bağışla Onları,Yapı Kredi Yayınları,Tarık Dursun K.,"17,59",%36 indirim,"11,26","6,33",Roman,208,9789750843143,Ciltsiz
897,Bir Dükkanı Beklemek,Yapı Kredi Yayınları,Uğur Nazlıcan,"9,26",%36 indirim,"5,93","3,33",Öykü Kitapları,88,9789750842979,Ciltsiz
898,Ya Ben Yoksam?,Yapı Kredi Yayınları,Anil Ananthaswamy,"22,22",%36 indirim,"14,22","8,00",Araştıma-İnceleme Kitapları,252,9789750843105,Ciltsiz
899,Peki Şimdi Nereye?,Yapı Kredi Yayınları,Filiz Özdem,"10,00",%36 indirim,"6,40","3,60",Okul Öncesi Resimli Kitaplar,60,9789750843167,Ciltsiz
900,Dedektif Kurukafa - Diriliş,Artemis Yayınları,Derek Landy,"45,00",%35 indirim,"29,25","15,75",Roman-Öykü Kitapları,551,9786053043614,Ciltli
901,Kader Ajanları - Toplu Öyküler 2. Cilt,Alfa Yayınları,Philip K. Dick,"52,00",%35 indirim,"33,80","18,20",Roman,592,9786051716749,Ciltli
902,Esrarlı Ada,Alfa Yayınları,Jules Verne,"34,00",%35 indirim,"22,10","11,90",Roman,716,9786051717883,Ciltsiz
903,İsimsiz Şehir,Alfa Yayınları,Faith Erin Hicks,"37,00",%35 indirim,"24,05","12,95",Çizgi Roman Kitapları,240,9786051717852,Ciltsiz
904,Dünyalar Savaşı,Alfa Yayınları,H. G. Wells,"19,00",%35 indirim,"12,35","6,65",Bilim Kurgu Kitapları,272,9786051717210,Ciltsiz
905,Dirk Gently'nin Holistik Dedektiflik Bürosu,Alfa Yayınları,Douglas Adams,"27,00",%35 indirim,"17,55","9,45",Bilim Kurgu Kitapları,336,9786051717944,Ciltsiz
906,Korkudan Yontulmuş Bastonlar,İz Yayıncılık,Mustafa Muharrem,"15,00",%35 indirim,"9,75","5,25",Denemeler,130,9786053263210,Ciltsiz
907,Mehmet Akif Ersoy,Alfa Yayınları,Mithat Cemal Kuntay,"31,00",%35 indirim,"20,15","10,85",Biyografi-Otobiyogafi Kitapları,454,9786051717951,Ciltsiz
908,İnsanların Dünyası,Timaş Yayınları,Antoine de Saint-Exupery,"17,50",%40 indirim,"10,50","7,00",Roman,172,9786050827224,Ciltsiz
909,Işid Ağları,İletişim Yayınevi,Doğu Eroğlu,"56,00",%30 indirim,"39,20","16,80","Kurum, Örgüt Kitapları",488,9789750524608,Ciltsiz
910,Üç Hikaye,İletişim Yayınevi,İlban Ertem,"42,00",%30 indirim,"29,40","12,60",Çizgi Roman Kitapları,139,9789750524592,Ciltsiz
911,Kitle İletişim Kuramları,İletişim Yayınevi,Burak Özçetin,"42,00",%30 indirim,"29,40","12,60",İletişim Medya Kitapları,280,9789750524578,Ciltsiz
912,İlkbahar Selleri,İletişim Yayınevi,İvan Sergeyeviç Turgenyev,"25,00",%30 indirim,"17,50","7,50",Roman,210,9789750524561,Ciltsiz
913,Bu Ölümsüz,İthaki Yayınları,Roger Zelazny,"22,00",%36 indirim,"14,08","7,92",Roman,184,9786053758358,Ciltsiz
914,Beceriksiz,İthaki Yayınları,Halit Emrah Dimici,"42,00",%36 indirim,"26,88","15,12",Roman,464,9786053758341,Ciltsiz
915,Boğaziçi'nin Tarih Atlası,Timaş Yayınları,Sedat Bornovalı,"33,50",%40 indirim,"20,10","13,40",Tarih Araştırma - İnceleme Kitapları,280,9786050828733,Ciltsiz
916,Savaş Üzerine,Alfa Yayınları,Carl Von Clausewitz,"49,00",%35 indirim,"31,85","17,15",Klasik Kitaplar,770,9786051717029,Ciltsiz
917,Dur Dünya Çocukları Bekle,Yapı Kredi Yayınları,Nezihe Meriç,"12,96",%36 indirim,"8,29","4,67",Roman-Öykü Kitapları,132,9789750842993,Ciltsiz
918,Tatil Evi'nde - Genç Maceracılar 1,Artemis Yayınları,Enid Blyton,"18,00",%35 indirim,"11,70","6,30",Hikayeler,168,9786053043652,Ciltsiz
919,Gizemli Yakut - Genç Maceracılar 3,Artemis Yayınları,Enid Blyton,"18,00",%35 indirim,"11,70","6,30",Hikayeler,162,9786053043645,Ciltsiz
920,Çözümsüz Bilmece - Genç Maceracılar 2,Artemis Yayınları,Enid Blyton,"18,00",%35 indirim,"11,70","6,30",Hikayeler,162,9786053043638,Ciltsiz
921,Görünmez Adam,Alfa Yayınları,H. G. Wells,"16,00",%35 indirim,"10,40","5,60",Klasik Kitaplar,200,9786051717845,Ciltsiz
922,Sen Yanımda Ol Yeter,Yediveren Yayınları,Alişan Kapaklıkaya,"32,00",%35 indirim,"20,80","11,20",Kişisel Gelişim Kitapları,296,9786052690178,Ciltsiz
923,Esaretten Kurtuluş Musa - 2,Olimpos Yayınları,Gerald Messadie,"35,00",%77 indirim,"7,90","27,10",Tarihsel Roman Kitapları,416,9786052063835,Ciltsiz
924,Dede Korkut Destanları,Mevsimler Kitap,Kolektif,"15,00",%25 indirim,"11,25","3,75",Hikayeler,208,9786059275866,Ciltsiz
925,Mutfak Sırları,Domingo Yayınevi,Anthony Bourdain,"35,00",%35 indirim,"22,75","12,25",Genel Yemek Kitapları,364,9786051980461,Ciltsiz
926,Kırmızı Elbisenin Hatıraları,Epsilon Yayınevi,Elizabeth Boyle,"29,50",%66 indirim,"9,90","19,60",Aşk Kitapları,365,9786051733562,Ciltsiz
927,Beni Bekletme,Epsilon Yayınevi,Maggie Robinson,"29,50",%40 indirim,"17,70","11,80",Aşk Kitapları,384,9786051733357,Ciltsiz
928,"Pirenin Yorganı, Karıncanın Rüyası",Yapı Kredi Yayınları,Filiz Özdem,"16,67",%36 indirim,"10,67","6,00",Hikayeler,112,9789750843099,Ciltsiz
929,Adam Sandıklarımız,Olimpos Yayınları,Tuba Ezici,"25,00",%40 indirim,"15,00","10,00",Denemeler,160,9786052063804,Ciltsiz
930,Roman ve Hayat,Şule Yayınları,M. Fatih Andı,"18,00",%40 indirim,"10,80","7,20",Araştıma-İnceleme Kitapları,135,9786052021552,Ciltsiz
931,Ateşten Kelimeler,Şule Yayınları,Ömer Lekesiz,"18,00",%40 indirim,"10,80","7,20",Araştıma-İnceleme Kitapları,136,9786052021521,Ciltsiz
932,Günümüz Türkçesiyle Nutuk,Yapı Kredi Yayınları,Mustafa Kemal Atatürk,"12,00",%36 indirim,"7,68","4,32",Mustafa Kemal Atatürk Kitapları,232,9789750842955,Ciltsiz
933,Müzik Yazıları - Bir Seçki,Yapı Kredi Yayınları,Theodor W. Adorno,"27,78",%36 indirim,"17,78","10,00","Genel Kavramlar, Kuram ve Tarihçe Kitapl",288,9789750842948,Ciltsiz
934,İkinci Bir Yaşam,Yapı Kredi Yayınları,Mustafa Demirtaş,"18,52",%36 indirim,"11,85","6,67",Araştıma-İnceleme Kitapları,240,9789750842894,Ciltsiz
935,Unutkanlık Boruları Dalgınlık Kanalları,Yapı Kredi Yayınları,Nilay Özer,"10,00",%36 indirim,"6,40","3,60",Roman-Öykü Kitapları,64,9789750842924,Ciltsiz
